Document Date,purchasing document,item,material,short text,order quantity,order unit,currency,net price,net order value,plant,purchasing group,purchasing organization,price unit,supplier_code,supplier_name
3/27/2019,4500150197,20,,Additional Instrument 70%,1,EA,THB,"81,720.80","81,720.80",RB11,RB1,RB00,1,BG00023651," CRONOS SERVICES CO.,LTD."
3/12/2019,4500148913,10,,"Printer""Epson"" M200 Mono all-in one ink",1,SET,THB,"5,800.00","5,800.00",RB11,RB0,RB00,1,BG00023884, Comp Tech Integration Se
3/27/2019,4500150198,10,,Initial Assessment Stage 1 OHSAS18001,1,JOB,THB,"30,000.00","30,000.00",RB11,RB0,RB00,1,BG00024491," BSI GROUP(THAILAND) CO.,"
3/27/2019,4500150198,20,,Travelling,1,JOB,THB,"1,700.00","1,700.00",RB11,RB0,RB00,1,BG00024491," BSI GROUP(THAILAND) CO.,"
3/6/2019,4500148553,10,,งานปรับปรุงสาย Lan ป้อม รปภ.1,1,JOB,THB,"12,000.00","12,000.00",RB11,RB0,RB00,1,BG00024692, DAS INTERNET SOLUTIONS C
3/7/2019,4500149604,10,,แผ่นเพลสฉลุพ่นตัวเลข,4,EA,THB,800.00,"3,200.00",RB11,RB1,RB00,1,BG00024777, Mr.Tongchai Srisakul
3/7/2019,4500149604,20,,แผ่นเพลสฉลุตัวเลข+อักษร,2,EA,THB,"1,000.00","2,000.00",RB11,RB1,RB00,1,BG00024777, Mr.Tongchai Srisakul
3/7/2019,4500149604,30,,แผ่นเพลสฉลุตัวเลข,5,EA,THB,400.00,"2,000.00",RB11,RB1,RB00,1,BG00024777, Mr.Tongchai Srisakul
3/7/2019,4500149604,40,,แผ่นเพลสฉลุภาษาอังกฤษ,3,EA,THB,"1,040.00","3,120.00",RB11,RB1,RB00,1,BG00024777, Mr.Tongchai Srisakul
3/1/2019,4500148961,10,,"Notebook""Panasonic""CF-SZ6B57VS",1,SET,THB,"55,750.00","55,750.00",RB11,RB2,RB00,1,HRBTJ009  , MR.DAISUKE  HASEGAWA
