Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
06/01/2018,WW-8083,,หมึก EPSON GJIC4(C),3  กล่อง,3,," 2,400.00 ",,ธารทอง สุวรรณ,
06/01/2018,WW-8083,,หมึก EPSON GJIC4(M),3  กล่อง,3,," 2,400.00 ",,ธารทอง สุวรรณ,
06/01/2018,WW-8083,,หมึก EPSON GJIC4(Y),3  กล่อง,3,," 2,400.00 ",,ธารทอง สุวรรณ,
06/01/2018,WW-8083,,STK. ขาวด้าน ตัด A4,2000  แผ่น,2000,," 2,400.00 ",,สยามสติ๊กเกอร์,
06/01/2018,WW-8083,,กระดาษต่อเนื่อง ปรุกลาง 2 Part   9 X 11'',2  กล่อง,2,, 840.00 ,,ธารทอง สุวรรณ,
06/01/2018,WW-8084,,ยางมะตอย,10  ถุง,10,," 1,200.00 ",,ธารทอง สุวรรณ,
06/01/2019,WW-8085,,สีสเปร์ย TOA  สีน้ำเงิน,3  โหล,3,," 2,215.00 ",,ธารทอง สุวรรณ,
06/01/2019,WW-8085,,ไม้ขนไก่ อย่างดี,12  อัน,12,," 2,135.00 ",,ธารทอง สุวรรณ,
06/01/2019,WW-8085,,เศษผ้า อย่างดี,1  แพ็ค,1,, 500.00 ,,ธารทอง สุวรรณ,
06/01/2018,WW-8088,,ค่าตรายาง    ,7  อัน,7,," 3,800.00 ",,,
06/05/2018,WW-8090,,ดินปลูกต้นไม้,6  ถุง,6,, 138.00 ,,ธารทอง สุวรรณ,
06/05/2018,WW-8090,,น้ำยาเอนกประสงค์,1  กป,1,, 92.00 ,,ธารทอง สุวรรณ,
06/05/2018,WW-8090,,เทปมิเนียม,1  ม้วน,1,, 102.00 ,,ธารทอง สุวรรณ,
06/08/2018,WW-8092,,กระดาษสะท้อนแสง,2  แพ็ค,2,, 180.00 ,,ธารทอง สุวรรณ,
06/08/2018,WW-8092,,เทปโฟม,2  ม้วน,2,, 258.00 ,,ธารทอง สุวรรณ,
06/18/2018,WW-8095,,สีสเปร์ย  TOA  สีดำ,6  โหล,6,," 4,140.00 ",,,
06/18/2018,WW-8098,,CONNECT  ,6  EA.,6,," 2,700.00 ",,VAGA,
06/18/2018,WW-8098,,"GUN , VEGA S3 SS&QR  401/Min 310 Bar",1 EA.,1,," 3,350.00 ",,VAGA,
06/18/2018,WW-8098,,SERVICE,1  ครั้ง,1,," 1,000.00 ",,VAGA,
06/20/2018,WW-8100,,ค่าบริการล้างทำความสะอาด Drum,ใบ,"1,730",," 5,190.00 ",,K.S.WASTE,
06/20/2018,WW-8100,,ค่าบริการล้างทำความสะอาด Drum (ควบคุมเครื่อง),ใบ,"1,730",," 8,650.00 ",,K.S.WASTE,
06/24/2018,WW-8101,,รางสายไฟ,1  ชิ้น,1,, 112.00 ,,Hardearehouse,
06/24/2018,WW-8101,,แอร์โรเฟล็กซ์แผ่น,3  ชิ้น,3,," 1,388.00 ",,Hardearehouse,
06/24/2018,WW-8101,,ไฟฉาย,3  ชิ้น,3,, 376.00 ,,ไทวัสดุ,
06/24/2018,WW-8101,,เทปอลูมิเนียม,1  ม้วน,1,, 102.00 ,,Hardearehouse,
06/24/2018,WW-8101,,ป้ายเซฟตี้ สวมรองเท้า,2  ชิ้น,2,, 86.00 ,,Hardearehouse,
06/24/2018,WW-8101,,ป้ายเซฟตี้ ต้องใช้เข็มขัด,2  ชิ้น,2,, 74.00 ,,Hardearehouse,
06/24/2018,WW-8101,,ป้ายเซฟตี้  ต้องสวมหมวก,2  ชิ้น,2,, 100.00 ,,Hardearehouse,
06/24/2018,WW-8101,,ป้ายเซฟตี้  ต้องสวมใส่หน้ากาก,2  ชิ้น,2,, 86.00 ,,Hardearehouse,
06/24/2018,WW-8101,,ป้ายเซฟตี้  ต้องสวมใส่ชุดป้องกันสารเคมี,2  ชิ้น,2,, 86.00 ,,Hardearehouse,
06/24/2018,WW-8101,,ป้ายเซฟตี้  ระวังอันตรายจากความร้อน,1  ชิ้น,1,, 61.00 ,,Hardearehouse,
06/24/2018,WW-8102,,ฉนวน ,1  ม้วน,1,, 359.00 ,,,
06/24/2018,WW-8102,,พรหมเช็ดเท้า,5  ผืน,5,," 1,197.00 ",,,
06/24/2018,WW-8102,,กุญแจ สปริง,1  ชุด,1,, 159.00 ,,,
06/29/2018,WW-8107,,ประแจ เนอกประสงค์,1  อัน,1,, 299.16 ,,ธารทอง สุวรรณ,
06/29/2018,WW-8107,,ไฟฉายคาดหน้าผาก ,1  อัน,1,, 271.06 ,,ธารทอง สุวรรณ,
06/29/2018,WW-8107,,น้ำยาล้างจาน ซันไลต์,4  GL,4,, 797.76 ,,ธารทอง สุวรรณ,
