Document Date,purchasing document,item,material,short text,order quantity,order unit,currency,net price,net order value,plant,purchasing group,purchasing organization,price unit,supplier_code,supplier_name
11/16/2018,4500140811,10,,Repair Floor Scale 300 kg. BL-SP-13,1,SET,THB,28500,28500,RB11,RB1,RB00,1,BG00012100, CHANWATTANA  SCALE SALE
11/20/2018,4500141345,10,,Calibration and Certificate Report,1,JOB,THB,30000,30000,RB11,RB3,RB00,1,BG00012100, CHANWATTANA  SCALE SALE
11/07/2018,4500140119,10,,Travelling Insurance,1,JOB,THB,363.88,363.88,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
11/07/2018,4500140119,20,,Travelling Insurance,1,JOB,THB,363.89,363.89,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
11/09/2018,4500140296,10,,ประกันภัยรถจักรยานยนต์,1,JOB,THB,3544.19,3544.19,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
11/09/2018,4500140296,20,,พรบ.รถจักรยานยนต์,1,JOB,THB,287.14,287.14,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
11/09/2018,4500140297,10,,ประกันภัยรถยนต์,1,JOB,THB,41055,41055,RB11,RB1,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
11/09/2018,4500140297,20,,พรบ.รถยนต์,1,JOB,THB,573.21,573.21,RB11,RB1,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
11/09/2018,4500140298,10,,พรบ.รถยนต์,1,JOB,THB,573.21,573.21,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
11/08/2018,4500140249,110,,TAKENATE L-1395,2,KG,USD,0,0,RB11,RB3,RB00,1,BG00012280," MITSUI CHEMICALS, INC."
11/08/2018,4500140249,120,,TAKENATE L-1160,4,KG,USD,0,0,RB11,RB3,RB00,1,BG00012280," MITSUI CHEMICALS, INC."
11/21/2018,4500141099,10,,TAKELAC XLG-7049BS RED,18,KG,USD,0,0,RB11,RB3,RB00,1,BG00012280," MITSUI CHEMICALS, INC."
11/21/2018,4500141099,20,,TAKELAC XLG-7048BS RED,18,KG,USD,0,0,RB11,RB3,RB00,1,BG00012280," MITSUI CHEMICALS, INC."
11/21/2018,4500141099,30,,TAKENATE L-1020,1,KG,USD,0,0,RB11,RB3,RB00,1,BG00012280," MITSUI CHEMICALS, INC."
11/21/2018,4500141099,40,,TAKELAC PC-6050ND RED,18,KG,USD,0,0,RB11,RB3,RB00,1,BG00012280," MITSUI CHEMICALS, INC."
11/20/2018,4500141000,10,,กำจัด Commercial Waste,2770,KG,THB,2.8,7756,RB11,RB0,RB00,1,BG00012356, BANGPOO ENVIRONMENTAL CO
11/20/2018,4500141000,20,,Collection Fee,1,EA,THB,4250,4250,RB11,RB0,RB00,1,BG00012356, BANGPOO ENVIRONMENTAL CO
11/14/2018,4500140610,10,,"Accessories for VISTA Transmission cell,",1,EA,THB,36860,36860,RB11,RB2,RB00,1,BG00012397," COLOR GLOBAL CO., LTD."
11/20/2018,4500140985,10,,"งานปรับปรุงท่อ DC-622 แก้ไขท่อ SUS2""",1,JOB,THB,9500,9500,RB11,RB2,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
11/22/2018,4500141415,10,,Repair Agitaer Shaft,1,JOB,THB,76000,76000,RB11,RB1,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
11/22/2018,4500141419,10,,งานซ่อมท่อสติม DC-9011,1,JOB,THB,8000,8000,RB11,RB1,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
11/22/2018,4500141419,20,,กล่องวาล์ว 2 GHA ขนาด 450x250,1,EA,THB,1700,1700,RB11,RB1,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
11/22/2018,4500141419,30,,Site Safety,1,JOB,THB,1000,1000,RB11,RB1,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
11/22/2018,4500141419,40,,Transportation,1,JOB,THB,1000,1000,RB11,RB1,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
11/22/2018,4500141422,10,,งานเปลี่ยน Bearing : Additional part,1,SET,THB,17000,17000,RB11,RB1,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
11/22/2018,4500141424,10,,Repair gard protection for steam pipe,1,JOB,THB,29000,29000,RB11,RB3,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
11/13/2018,4500140474,10,,AL Mold เบาะมอเตอร์ไซด์(30%),1,EA,THB,73500,73500,RB11,RB3,RB00,1,BG00012464," GF MANUFACTURING CO., LT"
11/13/2018,4500140474,20,,AL Mold เบาะมอเตอร์ไซด์(70%),1,EA,THB,171500,171500,RB11,RB3,RB00,1,BG00012464," GF MANUFACTURING CO., LT"
11/09/2018,4500140299,10,,Lenovo warranty,1,JOB,THB,17550,17550,RB11,RB0,RB00,1,BG00012465," GISTZ COMMUNICATION CO.,"
11/08/2018,4500140209,10,,ถุงมือผ้า (โหล),50,EA,THB,70,3500,RB11,RB0,RB00,1,BG00012500, J & S SAFETY SUPPLY LTD.
