Document Date,purchasing document,item,material,short text,order quantity,order unit,currency,net price,net order value,plant,purchasing group,purchasing organization,price unit,supplier_code,supplier_name
2019-01-21,4500145350,10,,"MA Forklift F-36,F-37,F-40,F-41 (Jan'19)",4.00,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
2019-01-21,4500145350,20,,"MA Forklift F-36,F-37,F-40,F-41 (Feb'19)",4.00,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
2019-01-21,4500145350,30,,"MA Forklift F-36,F-37,F-40,F-41 (Mar'19)",4.00,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
2019-01-21,4500145350,40,,"MA Forklift F-36,F-37,F-40,F-41 (Apr'19)",4.00,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
2019-01-21,4500145350,50,,"MA Forklift F-36,F-37,F-40,F-41 (May'19)",4.00,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
2019-01-21,4500145350,60,,"MA Forklift F-36,F-37,F-40,F-41 (Jun'19)",4.00,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
2019-01-21,4500145350,70,,"MA Forklift F-36,F-37,F-40,F-41 (Jul'19)",4.00,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
2019-01-21,4500145350,80,,"MA Forklift F-36,F-37,F-40,F-41 (Aug'19)",4.00,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
2019-01-21,4500145350,90,,"MA Forklift F-36,F-37,F-40,F-41 (Sep'19)",4.00,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
2019-01-21,4500145350,100,,"MA Forklift F-36,F-37,F-40,F-41 (Oct'19)",4.00,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
2019-01-21,4500145350,110,,"MA Forklift F-36,F-37,F-40,F-41 (Nov'19)",4.00,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
2019-01-21,4500145350,120,,"MA Forklift F-36,F-37,F-40,F-41 (Dec'19)",4.00,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
2019-01-09,4500144385,10,,ไซฟ่อนเล็ก,24.00,EA,THB,95.00,"2,280.00",RB11,RB1,RB00,1,BG00012612," P&N LABCHEM LTD., PART."
2019-01-09,4500144385,20,,ไซฟ่อนใหญ่,24.00,EA,THB,720.00,"17,280.00",RB11,RB1,RB00,1,BG00012612," P&N LABCHEM LTD., PART."
2019-01-27,4500145852,10,,Remaining repair FRP Roof,1.00,JOB,THB,"51,000.00","51,000.00",RB11,RB1,RB00,1,BG00012632, PCA ENGINEERING & SERVIC
2019-01-17,4500145013,10,,Calibrate Viscometer RVDV-E S/N 1826,1.00,JOB,THB,"5,700.00","5,700.00",RB11,RB1,RB00,1,BG00012735, SPC CALIBRATION CENTER
2019-01-17,4500145013,20,,Calibrate Viscometer LVDV-E S/N 3614,1.00,JOB,THB,"5,700.00","5,700.00",RB11,RB1,RB00,1,BG00012735, SPC CALIBRATION CENTER
2019-01-17,4500145013,30,,Calibrate Viscometer LVDV-E S/N 507965,1.00,JOB,THB,"5,700.00","5,700.00",RB11,RB1,RB00,1,BG00012735, SPC CALIBRATION CENTER
2019-01-17,4500145013,40,,Calibrate Viscometer RVDV-E S/N E3563,1.00,JOB,THB,"5,700.00","5,700.00",RB11,RB1,RB00,1,BG00012735, SPC CALIBRATION CENTER
2019-01-17,4500145013,50,,Calibrate Viscometer LVDV- E S/N 8491183,1.00,JOB,THB,"5,700.00","5,700.00",RB11,RB1,RB00,1,BG00012735, SPC CALIBRATION CENTER
2019-01-21,4500145223,10,,Maintenance Forklift F-35 (Jan'19),1.00,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
2019-01-21,4500145223,20,,Maintenance Forklift F-35 (Feb'19),1.00,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
2019-01-21,4500145223,30,,Maintenance Forklift F-35 (Mar'19),1.00,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
2019-01-21,4500145223,40,,Maintenance Forklift F-35 (Apr'19),1.00,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
2019-01-21,4500145223,50,,Maintenance Forklift F-35 (May'19),1.00,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
2019-01-21,4500145223,60,,Maintenance Forklift F-35 (Jun'19),1.00,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
2019-01-21,4500145223,70,,Maintenance Forklift F-35 (July'19),1.00,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
2019-01-21,4500145223,80,,Maintenance Forklift F-35 (Aug'19),1.00,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
2019-01-21,4500145223,90,,Maintenance Forklift F-35 (Sep'19),1.00,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
2019-01-21,4500145223,100,,Maintenance Forklift F-35 (Oct'19),1.00,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
2019-01-21,4500145223,110,,Maintenance Forklift F-35 (Nov'19),1.00,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
2019-01-21,4500145223,120,,Maintenance Forklift F-35 (Dec'19),1.00,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
2019-01-15,4500145530,10,,"ข้อต่อวาล์วพลาสติก PVC 2""(ซ่อม Bulk)",15.00,PC,THB,520.00,"7,800.00",RB11,RB1,RB00,1,BG00012810, TSP PART AND ENGINEERING
2019-01-07,4500144151,10,,ผ้ากรองขาว 80 mesh,104.00,M,THB,120.00,"12,480.00",RB11,RB1,RB00,1,BG00012825," V.S. BURLY GROUP CO., LT"
2019-01-07,4500144151,20,,ผ้ากรองขาว 120 mesh,160.00,M,THB,110.00,"17,600.00",RB11,RB1,RB00,1,BG00012825," V.S. BURLY GROUP CO., LT"
2019-01-07,4500144151,30,,ผ้ากรองขาว 150 mesh,108.00,M,THB,130.00,"14,040.00",RB11,RB1,RB00,1,BG00012825," V.S. BURLY GROUP CO., LT"
2019-01-07,4500144151,40,,ผ้ากรองขาว 200 mesh,53.00,M,THB,240.00,"12,720.00",RB11,RB1,RB00,1,BG00012825," V.S. BURLY GROUP CO., LT"
2019-01-09,4500144388,10,,Stretch film HM50-1800-G,15.00,EA,THB,"1,180.00","17,700.00",RB11,RB1,RB00,1,BG00014562," NANDEE -STRAPAC CO.,LTD."
2019-01-03,4500143960,10,,byko-chat Opacity 3B(Cat No.2811),4.00,EA,THB,"4,100.00","16,400.00",RB11,RB1,RB00,1,BG00015882, COLOSSAL INTERNATIONAL C
2019-01-24,4500145519,10,,ค่าบำรุงสมาชิกสมาคม,1.00,JOB,THB,"3,364.49","3,364.49",RB11,RB1,RB00,1,BG00016023, THAI FURNITURE ASSOCIATI
2019-01-07,4500144158,10,,Hydrochoric Axid 0.5 N 2.5L.(fisher),12.00,EA,THB,"1,150.00","13,800.00",RB11,RB1,RB00,1,BG00016313," APEX CHEMICALS CO.,LTD."
2019-01-30,4500146047,10,,NICCA FI-NONE AP-240 (25 KG./PACK),50.00,KG,THB,219.00,"10,950.00",RB11,RB1,RB00,1,BG00018294," STC NICCA CO.,LTD."
2019-01-11,4500144566,10,,Blank Label PP matte white,"40,000.00",EA,THB,2.86,"114,400.00",RB11,RB1,RB00,1,BG00022618," Weltron Corporation Co.,"
2019-01-11,4500144566,20,,Color Label (Black)sticker ต่อเนื่อง,"20,000.00",EA,THB,1.45,"29,000.00",RB11,RB1,RB00,1,BG00022618," Weltron Corporation Co.,"
