Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
04/12/2018,PS 8151,1,แปรงลวด สำหรับเครื่องขัด 18 นิ้ว,,1,2610.00,2610.00,,บริษัท คลีนอินโนเวชั่น จำกัด,TP-019
12/14/2018,PS 8158,1,ถุงผ้าขนาด 58 X 50 ซม.,,4,150.00,600.00,,ร้าน ป้าแมว,TP-019
08/01/2019,PS 9004,1,สีน้ำมันGLIPTON G1000 บรอนซ์,,1,630.00,630.00,,บ.ดูโฮม จก. สาขาบางปะกง,TP-019
,,2,กระดาษทรายขัดเหล็ก #360 NASH,,1,32.00,32.00,,บ.ดูโฮม จก. สาขาบางปะกง,TP-019
,,3,กระดาษทรายขัดเหล็ก #400 NASH,,1,32.00,32.00,,บ.ดูโฮม จก. สาขาบางปะกง,TP-019
,,4,"แปรงทาสี 3""NM003 NASH",,1,12.00,12.00,,บ.ดูโฮม จก. สาขาบางปะกง,TP-019
,,5,แปรงลวดทองเหลือง 5 แถว NASH,,2,24.00,48.00,,บ.ดูโฮม จก. สาขาบางปะกง,TP-019
,,6,แปรงลวดเหล็ก 5 แถว 105 NASH,,2,22.00,44.00,,บ.ดูโฮม จก. สาขาบางปะกง,TP-019
,,7,"แปรงทาสี 1 1/2"" NM003 NASH",,1,10.00,10.00,,บ.ดูโฮม จก. สาขาบางปะกง,TP-019
,,8,"แปรงทาสี 2""         NM003 NASH",,1,9.00,9.00,,บ.ดูโฮม จก. สาขาบางปะกง,TP-019
,,9,"เกียงโป้วสีจีน 4"" ด้ามยาง NASH",,1,27.00,27.00,,บ.ดูโฮม จก. สาขาบางปะกง,TP-019
,,10,"เกียงโป้วสีจีน 2  1/2"" ด้ามยาง NASH",,2,24.00,48.00,,บ.ดูโฮม จก. สาขาบางปะกง,TP-019
,,11,สีสเปรย์,,2,45.00,90.00,,ร้านค้า ทั่วไป,TP-019
,,12,ภู่กัน #22,,1,20.00,20.00,,ร้านค้า ทั่วไป,TP-019
,,13,"แปรงทาสีขนยาว 2""      ",,1,45.00,45.00,,ร้านค้า ทั่วไป,TP-019
,,14,"แปรงทาสีขนยาว 2  1/2""      ",,1,65.00,65.00,,ร้านค้า ทั่วไป,TP-019
,,15,"แปรงทาสีขนยาว 3""      ",,1,80.00,80.00,,ร้านค้า ทั่วไป,TP-019
,,16,ลูกกลิ้งเคมี,,1,55.00,55.00,,ร้านค้า ทั่วไป,TP-019
,,17,อะไหล่ลูกกลิ้งเคมี,,1,35.00,35.00,,ร้านค้า ทั่วไป,TP-019
10/01/2019,PS 9005,1,"แปรงทาสีคลาสสิคด้ามไม้ 4"" KOSSHI",,4,22.00,88.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,2,"แปรงทาสีคลาสสิคด้ามไม้ 3"" KOSSHI",,4,17.00,68.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,3,"แปรงทาสีคลาสสิคด้ามไม้ 2.5"" KOSSHI",,4,14.00,56.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,4,อะไหล่ลูกกลิ้งเคมี 4 EPOXY EXTRA UNIPAINT,,1,161.00,161.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,5,ลูกกลิ้งเคมี 4 EPOXY EXTRA UNIPAINT,,1,51.00,51.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,6,กาพ่นสี SG 112 กาล่าง NITTO,,1,364.00,364.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,7,ไขปลาวาฬ LU 1358 สีฟ้า/ม่วง OSBORN GERMAN,,3,83.46,250.38,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,8,"แผ่นขัดสนิม CNS XT PRO 4""5/8 3M แดง 37051",,2,150.00,300.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,9,แปรงลวดกลมลวด ทล. 100*12มม. OSBORN GERMAN,,1,77.00,77.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,10,"แผ่นขัดสนิม CNS 4"" 1/4 3M แดง 03350",,2,118.00,236.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,11,"แปรงทาสี 3"" ด้ามปรับองศาได้ 5210-3 COSTA",,2,41.00,82.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,12,"ลูกขัดผ้า 4"" งานสแตนเลส 3M",,7,59.00,413.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,13,ล้อผ้าทรายมีแกน 1*1 #180,,2,45.00,90.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,14,ล้อขัด ใยสังเคราะห์แกน 25*25*6มม.8616 COSTA,,1,24.00,24.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,15,ล้อขัด ใยสังเคราะห์แกน 25*25*6มม.8615 COSTA,,1,21.00,21.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,16,สีน้ำมัน 711 DELTA 1/4,,1,139.00,139.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,17,สีน้ำมัน 101 NATIONAL ,,6,377.00,2262.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,18,สีน้ำมัน G 1000  TOA ,,2,595.00,1190.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,19,ทินเนอร์ AA EAGLE,,2,350.00,700.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,20,ปืนฉีดน้ำบอดีเหล็ก 7 แบบ 622009E YARDSMITH,,1,168.00,168.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,21,"แผ่นขัดสนิม CNS XT PRO 4""5/8 3M แดง 37051",,6,150.00,900.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,22,เครื่องเจียร 4 BOSCH GWS 7/100,,2,1626,3252.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
10/01/2019,PS 9006,,หินเจียรนัยแกน W177 HYD,,4,18.00,72.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
01/14/2019,PS 9007,1,"ลูกกลิ้งสี 4""(2225-4) SOMIC",,3,41.00,123.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,2,"ลูกกลิ้งสีอิพ็อกซี่ 7"" (29-064) STANLEY",,5,118.00,590.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,3,ปืนยิงลม PS128 ,,1,144.00,144.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,4,สีน้ำมัน 101 NATIONAL ,,10,337.00,3370.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,5,วอลพุตตี้ B219 (5 กก.) BOSNY,,1,169.00,169.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,6,"แปรงทาสีคลาสสิคด้ามไม้ 3"" KOSSHI",,5,17.00,85.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,7,"แปรงทาสีคลาสสิคด้ามไม้ 4"" KOSSHI",,5,22.00,110.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,8,"แผ่นขัดสนิม CNS XT PRO 4""5/8 3M แดง 37051",,20,150.00,3000.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,9,"แปรงทาสี 2.5"" ด้ามปรับองศาได้ 5210-2 COSTA",,2,32.00,64.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,10,ผ้าทรายหลังแดง 100 ฟินิกส์,,10,11.00,110.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,11,กระดาษทรายน้ำ 1200 3M,,20,9.00,180.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
01/14/2019,PS 9008,1,กระเบื้องใส ลอนเล็ก 1.20 ม.,,17,195.00,3315.00,,หจก. เกตุมณีวัสดุก่อสร้าง,TP-019
,,2,"สกรู ปลายสว่านลอนคู่ สีทอง 3""",,200,2.50,500.00,,หจก. เกตุมณีวัสดุก่อสร้าง,TP-019
,,3,แปรงลวดถ้วย 21/2-10-1.5,,9,65.00,585.00,,หจก. เกตุมณีวัสดุก่อสร้าง,TP-019
01/16/2019,PS 9010,1,ฟิวเจอร์บอร์ด ขนาด 49 X 65,,4,20.00,80.00,,ร้าน แอนนาบุ๊คส์,TP-019
,,2,กระดาษชาร์ท,,12,12.00,144.00,,ร้าน แอนนาบุ๊คส์,TP-019
,,3,กระดาษโปสเตอร์อ่อน,,7,7.00,49.00,,ร้าน แอนนาบุ๊คส์,TP-019
,,4,ดอกไม้จัดบอร์ด,,1,300.00,300.00,,ร้าน แอนนาบุ๊คส์,TP-019
,,5,เทปตีเส้น 9 มม.,,5,35.00,175.00,,ร้าน แอนนาบุ๊คส์,TP-019
,,6,เทปตีเส้น 5 มม.,,1,20.00,20.00,,ร้าน แอนนาบุ๊คส์,TP-019
,,7,ปากกา 4 สี,,4,28.00,112.00,,ร้าน แอนนาบุ๊คส์,TP-019
,,8,เชือกสีเส้นใหญ่,,4,10.00,40.00,,ร้าน แอนนาบุ๊คส์,TP-019
01/15/2019,PS 9011,1,"กระเบื้องใส ลอนคู่ 4""",,60,203.00,12180.00,,บริษัท 189 วัสดุคอร์ป จำกัด,TP-019
,,2,สีน้ำมัน 700 DELTA ,,5,498.00,2490.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,3,"แผ่นขัดสนิม CNS XT PRO 4""5/8 3M แดง 37051",,20,150.00,3000.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
01/16/2019,PS 9012,1,ถุงมือโพลีเอสเตอร์เคลือบ LATEX # L+,,12,56.07,672.84,,บริษัท พีซีเอล กรุ๊ป  จำกัด,TP-019
01/18/2019,PS 9014,1,กาละมัง สแตนเลส ตราหัวม้าลาย,,1,580.00,580.00,,ร้าน ชูทิพย์,TP-019
,,2,ปิ่นโต  สแตนเลส ตราหัวม้าลาย,,1,580.00,580.00,,ร้าน ชูทิพย์,TP-019
,,3,ถังน้ำ สแตนเลส ตรามือ,,1,799.00,799.00,,ร้าน ชูทิพย์,TP-019
01/18/2019,PS 9015,1,"แผ่นขัดสนิม CNS XT PRO 4""5/8 3M แดง 37051",,20,150.00,3000.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,2,ล้อขัด ใยสังเคราะห์แกน 25*25*6มม.8616 COSTA,,10,24.00,240.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,3,แปรงลวดภู่กัน 17 มม. HYD,,10,21.00,210.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,4,แปรงลวดกลม มีแกน 50 มม.ทล.2 HYD,,3,26.00,78.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,5,แปรงลวดกลม มีแกน 65 มม.ทล.2 HYD,,1,43.00,43.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,6,แปรงลวดกลม มีแกน 75 มม.ทล.2 HYD,,2,47.00,94.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,7,แปรงลวดกลม 4  HYD,,2,34.00,68.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,8,ล้อขัด ใยสังเคราะห์แกน 40*6 มม.9358 COSTA,,5,34.00,170.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,9,"แผ่นขัดสนิม CNS XT PRO 4""5/8 3M แดง 37051",,20,150.00,3000.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,10,กวย สแตนเลส 0.9 มม.กลม 300 X 280 มม.,,1,2500.00,2500.00,,บริษัท ชลบุรี เอส. เจ. จำกัด,TP-019
,,11,เข็มขัดรัดสายยาง ORBIT # 3,,10,10.00,100.00,,หจก. อริสราสตีล จำกัด,TP-019
,,12,เข็มขัดรัดสายยาง ORBIT # 1A,,10,10.00,100.00,,หจก. อริสราสตีล จำกัด,TP-019
,,13,เข็มขัดรัดสายยาง ORBIT # 1,,10,10.00,100.00,,หจก. อริสราสตีล จำกัด,TP-019
01/28/2019,PS 9016,1,ใบคัตเตอร์ SK5 261501 TACTIX,,1,64.00,64.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,2,คัตเตอร์ 711151 150  ONESITE,,1,76.00,76.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,3,หางปลา CL 10-8  T-LUG,,2,128.00,256.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,4,ทินเนอร์ ,,10,35.00,350.00,,ร้าน ตะวันออกแสงทอง,TP-019
,,5,"แผ่นขัดสนิม CNS XT PRO 4""5/8 3M แดง 37051",,10,150.00,1500.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
,,6,ประเก็นเทปล่อน (กันเคมี) 3/8,,2,1100.00,2200.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
01/29/2019,PS 9017,1,เชือกไนล่อน 4 มม. สีขี้ม้า,,1,230.00,230.00,,บริษัท ฮาร์ดแวร์เฮาส์ จำกัด,TP-019
01/30/2019,PS 9020,1,ป้ายญี่ปุ่น พร้อมขา,,5,700.00,3500.00,,ไม่มีบันทึก,TP-019
02/21/2019,PS 9026,1,โอโมพลัส พลัสซากุระเฟรช 900 g.,,3,85.00,255.00,,7-ELEVEN เวลโกร์ว,TP-019
03/14/2019,PS 9033,1,สีรองพื้นกันสนิม แดง TOA 4 SEASON,,1,355.00,355.00,,บริษัท ซีอาร์ซี ไทวัสดุ จำกัด,TP-019
03/18/2019,PS 9034,1,แบตเตอรี่แห้ง LEOCH DJW 6-7 ดำ 6 V 4 AH ,,1,350.00,350.00,,บ.อมรศูนย์รวมอะไหล่อีเล็คโทรนิคส์ จก.,TP-019
,,2,แบตเตอรี่แห้ง SPA SL6-5,,2,300.00,600.00,,บ.อมรศูนย์รวมอะไหล่อีเล็คโทรนิคส์ จก.,TP-019
03/18/2019,PS 9035,1,ป้ายโบรชัวร์ L-SHAPE ขนาด A4 แนวนอน,,4,159.00,636.00,,บริษัท เอก-ชัย ดีสทริบิวชั่น ซีสเทม จำกัด,TP-019
03/19/2019,PS 9037,1,"ลูกยางรองขาเหล็กฉาก 2"" X 2""",,30,15.00,450.00,,ร้าน คุงเซ็ง ซัพพลาย,TP-019
03/27/2019,PS 9038,1,"ผ้าสักหลาด ขนาด 36""",,20,70.00,1400.00,,บริษัท บีเอ็นวี อินเตอร์กรุ๊ป จำกัด,TP-019
