Document Date,purchasing document,item,material,short text,order quantity,order unit,currency,net price,net order value,plant,purchasing group,purchasing organization,price unit,supplier_code,supplier_name
10/24/2018,4500139336,10,,Repair Floor Scale 300kg.,1,JOB,THB,5000,5000,RB11,RB2,RB00,1,BG00012100, CHANWATTANA  SCALE SALE
10/24/2018,4500139357,10,,Repair Floor scale 300 kg.,1,JOB,THB,7000,7000,RB11,RB2,RB00,1,BG00012100, CHANWATTANA  SCALE SALE
10/24/2018,4500139359,10,,Repair Floor scale 300 kg.,1,JOB,THB,13500,13500,RB11,RB2,RB00,1,BG00012100, CHANWATTANA  SCALE SALE
10/02/2018,4500137631,10,,Hydrostatic test ถังดับเพลิงขนาด15 ปอนด์,104,EA,THB,495,51480,RB11,RB0,RB00,1,BG00012104," ANTI FIRE INDUSTRY CO.,"
10/02/2018,4500137631,20,,เติมน้ำยาผงเคมีแห้งถังดับเพลิงขนาด15ปอนด,104,EA,THB,430,44720,RB11,RB0,RB00,1,BG00012104," ANTI FIRE INDUSTRY CO.,"
10/11/2018,4500138372,10,,ต่ออายุสมาชิกประจำปี 2561,1,JOB,THB,1100,1100,RB11,RB0,RB00,1,BG00012147," HR CENTER CO., LTD."
10/05/2018,4500137919,10,,ประกันภัยรถยนต์,1,JOB,THB,15910.14,15910.14,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
10/05/2018,4500137919,20,,พรบ.รถยนต์,1,JOB,THB,573.21,573.21,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
10/05/2018,4500137926,10,,ประกันภัยรถยนต์,1,JOB,THB,17689.8,17689.8,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
10/05/2018,4500137926,20,,พรบ.รถยนต์,1,JOB,THB,573.21,573.21,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
10/05/2018,4500137929,10,,ประกันภัยรถยนต์,1,JOB,THB,15910.14,15910.14,RB11,RB1,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
10/05/2018,4500137929,20,,พรบ.รถยนต์,1,JOB,THB,573.21,573.21,RB11,RB1,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
10/09/2018,4500138176,10,,ประกันภัยรถจักรยานยนต์,1,JOB,THB,2699.93,2699.93,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
10/09/2018,4500138176,20,,พรบ.รถจักรยานยนต์,1,JOB,THB,287.14,287.14,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
10/05/2018,4500137911,10,,หนังสือพิมพ์ Thai Keizai,1,JOB,THB,3900,3900,RB11,RB0,RB00,1,BG00012218, THAI KEIZAI PUBLISHING C
10/05/2018,4500137912,10,,สมาชิกรายปี True vision,1,JOB,THB,20725.44,20725.44,RB11,RB0,RB00,1,BG00012233," TRUE VISIONS GROUP CO.,"
10/16/2018,4500138636,20,,,16,KG,USD,0,0,RB11,RB2,RB00,1,BG00012272, LUXCHEM POLYMER INDUSTRI
10/05/2018,4500137899,20,,CHEMIPEARL XSP529,51,KG,JPY,0,0,RB11,RB1,RB00,1,BG00012280," MITSUI CHEMICALS, INC."
10/19/2018,4500138885,10,,"UPS""APC"" Back Pro 1500VA#BR1500GI",1,SET,THB,11500,11500,RB11,RB2,RB00,1,BG00012313," ADD IN BUSINESS CO., LTD"
10/17/2018,4500138725,10,,กาวเสื่อมสภาพ 60/0007,5670,KG,THB,3.8,21546,RB11,RB1,RB00,1,BG00012324, AKKHIE PRAKARN PUBLIC CO
10/10/2018,4500138223,10,,CASS Test&Salt Spray Test(con.)(45%),1,EA,THB,247500,247500,RB11,RB2,RB00,1,BG00012328, ALPHA TECHNOLOGY & ENGIN
10/10/2018,4500138223,20,,CASS Test&Salt Spray Test(con.)(55%),1,EA,THB,302500,302500,RB11,RB2,RB00,1,BG00012328, ALPHA TECHNOLOGY & ENGIN
10/10/2018,4500138223,30,,CASS Test&Salt Spray Test(con.)(30%),0,EA,THB,0,0,RB11,RB2,RB00,1,BG00012328, ALPHA TECHNOLOGY & ENGIN
10/18/2018,4500138944,10,,PM Contract DCS System IRW,1,JOB,THB,60000,60000,RB11,RB0,RB00,1,BG00012351," AZBIL (THAILAND) CO., LT"
10/18/2018,4500138944,20,,PM Contract DCS System IRS,1,JOB,THB,60000,60000,RB11,RB0,RB00,1,BG00012351," AZBIL (THAILAND) CO., LT"
10/01/2018,4500137588,10,,"สายน้ำดับเพลิง PVC ขนาด 1.5""x20 ม.",6,EA,THB,5225,31350,RB11,RB0,RB00,1,BG00012355, BANGKOK SAFETY & SLING C
10/01/2018,4500137588,20,,"หัวฉีดน้ำดับเพลิงทองเหลือง ขนาด 2.5""x12""",3,EA,THB,3030.5,9091.5,RB11,RB0,RB00,1,BG00012355, BANGKOK SAFETY & SLING C
10/01/2018,4500137588,30,,"ยางกันซึมข้อต่อสวมเร็ว ขนาด2.5""",20,EA,THB,47.5,950,RB11,RB0,RB00,1,BG00012355, BANGKOK SAFETY & SLING C
10/01/2018,4500137588,40,,ตู้เก็บสายดับเพลิงขนาด 60x110x20 cm.,1,EA,THB,3800,3800,RB11,RB0,RB00,1,BG00012355, BANGKOK SAFETY & SLING C
10/01/2018,4500137588,50,,"ข้อต่อสวมเร็วทางจ่าย ขนาด 2.5""",1,EA,THB,950,950,RB11,RB0,RB00,1,BG00012355, BANGKOK SAFETY & SLING C
10/01/2018,4500137588,60,,"ฝาปิดพร้อมโซ่ 2.5 """,1,EA,THB,237.5,237.5,RB11,RB0,RB00,1,BG00012355, BANGKOK SAFETY & SLING C
10/24/2018,4500139332,10,,กำจัด Commercial Waste,2610,KG,THB,2.8,7308,RB11,RB0,RB00,1,BG00012356, BANGPOO ENVIRONMENTAL CO
10/24/2018,4500139332,20,,Collection Fee,1,EA,THB,4250,4250,RB11,RB0,RB00,1,BG00012356, BANGPOO ENVIRONMENTAL CO
10/18/2018,4500139141,10,,ค่าบริการกำจัดและบำบัดเรซิ่นเสื่อมสภาพ,6770,KG,THB,2.8,18956,RB11,RB2,RB00,1,BG00012366, BETTER WORLD GREEN PUBLI
10/18/2018,4500139141,20,,ค่าขนส่ง,1,EA,THB,5000,5000,RB11,RB2,RB00,1,BG00012366, BETTER WORLD GREEN PUBLI
10/12/2018,4500138447,10,,"ตู้ล็อคเกอร์""Lucky"" 9 ประตู สีครีม",1,PC,THB,7310,7310,RB11,RB2,RB00,1,BG00012426, DUMRONGCHAI SAFE & STELL
10/18/2018,4500138941,10,,"งานซ่อมท่อ Cooling 2""",1,JOB,THB,18000,18000,RB11,RB2,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
10/18/2018,4500139325,10,,งานเชื่อม ซ่อมรอยรั่วบริเวณก้นถัง,1,JOB,THB,200000,200000,RB11,RB3,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
