Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
08/17/2018,PT-8073,1,buffer solution pH 4.0 +/-0.02 (1 Litre),ขวด,1, 580.00 , 580.00 ,,Lab chem,ZU-020
,,2,buffer solution pH 7.0 +/-0.02 (1 Litre),ขวด,1, 580.00 , 580.00 ,,Lab chem,ZU-020
08/28/2018,PT-8074,1,กลึงอุปกรณ์ plug สำหรับ Vessle RO,ชิ้น,4," 1,900.00 "," 7,600.00 ",,อิชิตะ,ZU-020
08/28/2018,PT-8075,1,"เช็ควาล์วทองเหลือง KITZ 1""",ตัว,2, 775.00 ," 1,550.00 ",,ธารทอง,ZU-020
,,2,"ข้อต่อตรงหนา PVC ขนาด 2-1/2""",ตัว,2, 30.10 , 60.20 ,,ธารทอง,ZU-020
,,3,พุกตะปู,กล่อง,1, 17.50 , 17.50 ,,ธารทอง,ZU-020
,,4,"ท่อ PVC ขนาด 3"" ชั้น 13.5",เส้น,3, 600.00 ," 1,800.00 ",,ธารทอง,ZU-020
,,5,"ท่อ PVC ขนาด 1"" ชั้น 13.5",เส้น,8, 101.00 , 808.00 ,,ธารทอง,ZU-020
,,6,"งอหนา 90 องศา PVC 3""",ตัว,9, 82.00 , 738.00 ,,ธารทอง,ZU-020
,,7,"บอลวาล์ว PVC 3""",ตัว,2, 380.00 , 760.00 ,,ธารทอง,ZU-020
,,8,"บอลวาล์ว PVC 1""",ตัว,1, 58.00 , 58.00 ,,ธารทอง,ZU-020
,,9,"สามทางหนา PVC 3""",ตัว,1, 157.00 , 157.00 ,,ธารทอง,ZU-020
,,10,"ข้อต่อตรงเกลียวนอก PVC 1""",ตัว,3, 5.50 , 16.50 ,,ธารทอง,ZU-020
,,11,"ข้อต่อตรงหนา PVC ขนาด 1""",ตัว,3, 50.00 , 150.00 ,,ธารทอง,ZU-020
,,12,น้ำยาทาท่อตราช้าง 125 กรัม หลอด,หลอด,5, 135.00 , 675.00 ,,ธารทอง,ZU-020
,,13,"สามทางลด PVC 2-1/2""x2""",ตัว,4, 87.00 , 348.00 ,,ธารทอง,ZU-020
,,14,"ฝาครอบ PVC 2-1/2""",ตัว,2, 41.80 , 83.60 ,,ธารทอง,ZU-020
08/28/2018,PT-8076,1,ปลั๊กแปลง 4in1 ,ชิ้น,1, 235.00 , 235.00 ,,ฮาร์ดแวร์เฮาส์,ZU-020
,,2,ข้อต่อเข้าบ็อก 20 มม. สีขาว,PK10,1, 27.00 , 27.00 ,,ฮาร์ดแวร์เฮาส์,ZU-020
,,3,กิ๊บจับท่อ 25มม. สีขาว,PK10,1, 17.00 , 17.00 ,,ฮาร์ดแวร์เฮาส์,ZU-020
,,4,ข้อต่อบ็อค 25  มม. สีขาว,ชิ้น,2, 3.00 , 6.00 ,,ฮาร์ดแวร์เฮาส์,ZU-020
,,5,ข้อโค้ง 25มม. สีขาว,ชิ้น,5, 9.00 , 45.00 ,,ฮาร์ดแวร์เฮาส์,ZU-020
09/19/2018,PT-8078,1,"เช็ควาล์วทรูยูเนี่ยน UPVC 2""",ตัว,1," 5,825.00 "," 5,825.00 ",,ธารทอง,ZU-020
,,2,ดอกสว่านเจาะเหล็ก NACHI 4 mm.,ดอก,1, 270.00 , 270.00 ,,ธารทอง,ZU-020
,,3,ดอกสว่านเจาะเหล็ก NACHI 5 mm.,ดอก,1, 320.00 , 320.00 ,,ธารทอง,ZU-020
,,4,ดอกสว่านเจาะเหล็ก NACHI 6 mm.,ดอก,1, 400.00 , 400.00 ,,ธารทอง,ZU-020
,,5,ดอกสว่านเจาะเหล็ก NACHI 8 mm.,ดอก,1, 630.00 , 630.00 ,,ธารทอง,ZU-020
,,6,ดอกสว่านเจาะปูนโรตารี่ 8x110 mm.,ดอก,1, 175.00 , 175.00 ,,ธารทอง,ZU-020
,,7,ท่อะคริลิคใส 18x2x2000 mm.,ท่อน,2," 1,060.00 "," 2,120.00 ",,ธารทอง,ZU-020
09/21/2018,PT-8079,1,Volumetric Pipette 25 mL.,ชิ้น,1, 240.00 , 240.00 ,,Lab valley,ZU-020
09/28/2018,PT-8080,1,"Strainer #120 Mesh (4,500baht/set) 200A",ชิ้น,2," 4,500.00 "," 9,000.00 ",,Triple L,ZU-020
10/22/2018,PT-8082,1,สอบเทียบ DO meter,set,1," 3,000.00 "," 3,000.00 ",,Umbralla CAL.,ZU-020
10/22/2018,PT-8083,1,สอบเทียบ Anemometer,set,1," 3,500.00 "," 3,500.00 ",,Umbralla CAL.,ZU-020
10/22/2018,PT-8084,1,บีกเกอร์พลาสติก 350 บาทต่อใบ,ชิ้น,2, 350.00 , 700.00 ,,ธนพล แมชชีน,ZU-020
11/02/2018,PT-8085,1,น้ำยาท่อตราช้าง 125 กรัม หลอด,หลอด,5, 135.00 , 675.00 ,,ธารทอง,ZU-020
,,2,"ยูโบ้ว 3 """,ตัว,6, 15.00 , 90.00 ,,ธารทอง,ZU-020
,,3,"ข้อต่อตรงเกลียวใน PVC ขนาด 2""",ตัว,2, 27.90 , 55.80 ,,ธารทอง,ZU-020
,,4,น้ำกลั่น,ลัง,2, 120.00 , 240.00 ,,ธารทอง,ZU-020
,,5,"ข้อต่อตรงหนา PVC ขนาด 1""",ตัว,10, 6.10 , 61.00 ,,ธารทอง,ZU-020
,,6,"งอหนา 90 องศา PVC ขนาด 1""",ตัว,10, 8.50 , 85.00 ,,ธารทอง,ZU-020
,,7,สลิงไส้เชือก 3 mm,เมตร,15, 50.00 , 750.00 ,,ธารทอง,ZU-020
,,8,กิ๊บจับสลิง 1/8,ตัว,10, 10.00 , 100.00 ,,ธารทอง,ZU-020
,,9,เกลียวเร่ง 1/4,ตัว,4, 23.00 , 92.00 ,,ธารทอง,ZU-020
,,10,"ท่อ PVC ขนาด 1/2"" ชั้น 13.5",เส้น,10, 53.00 , 530.00 ,,ธารทอง,ZU-020
,,11,โครงเลื่อยเหล็กอีกิ๊ปส์ ก้านกลม,อัน,1, 450.00 , 450.00 ,,ธารทอง,ZU-020
,,12,"เคเบิ้ลไทร์ 12"" ดำ",ห่อ,2, 170.00 , 340.00 ,,ธารทอง,ZU-020
11/23/2018,PT-8090,1,ทดสอบหม้อน้ำ,งาน,1," 50,000.00 "," 50,000.00 ",,SB radiator,ZU-020
11/26/2018,PT-8092,1,Beaker ทรงสูง ขนาด 200 mL ยี่ห่อ Pyrex U.S.A,ใบ,1, 200.00 , 200.00 ,,Lab valley,ZU-020
,,2,Burette teflon stopcock ขนาด 50 mL Class AS,อัน,1, 980.00 , 980.00 ,,Lab valley,ZU-020
12/11/2018,PT-8094,1,"ฟุตวาล์ว 2"" ทองเหลือง",ตัว,1, 600.00 , 600.00 ,,ธารทอง,ZU-020
,,2,ลวดสลิง 3 mm.,เมตร,10, 500.00 ," 5,000.00 ",,ธารทอง,ZU-020
,,3,"บอลวาล์ว PVC 1/2""",ตัว,1, 30.00 , 30.00 ,,ธารทอง,ZU-020
,,4,"กิ๊บจับสลิง 1/8 """,ตัว,10, 80.00 , 800.00 ,,ธารทอง,ZU-020
12/11/2018,PT-8095,1,"สามทางลด หนา PVC ขนาด 2""x1""",ตัว,1, 45.60 , 45.60 ,,ธารทอง,ZU-020
,,2,"งอหนา 90 องศา PVC ขนาด 2""",ตัว,5, 27.70 , 138.50 ,,ธารทอง,ZU-020
,,3,"ข้อต่อตรงหนา PVC ขนาด  2""",ตัว,5, 18.30 , 91.50 ,,ธารทอง,ZU-020
,,4,"งอหนา 90 องศา PVC ขนาด 1-1/2""",ตัว,5, 18.30 , 91.50 ,,ธารทอง,ZU-020
,,5,"ข้อต่อตรงหนา PVC ขนาด  1-1/2""",ตัว,5, 11.70 , 58.50 ,,ธารทอง,ZU-020
,,6,"ฝาครอบ PVC ขนาด 1/2""",ตัว,4, 3.00 , 12.00 ,,ธารทอง,ZU-020
,,7,"งอหนา 45 องศา PVC ขนาด 3""",ตัว,2, 82.00 , 164.00 ,,ธารทอง,ZU-020
,,8,น้ำยาทาท่อตราช้าง 125 กรัม หลอด,หลอด,5, 135.00 , 675.00 ,,ธารทอง,ZU-020
,,9,ท่ออะคริลิค วัดนอก 18*2*2000 มม.,ท่อน,1," 1,060.00 "," 1,060.00 ",,ธารทอง,ZU-020
01/17/2019,PT-9005,1,ใส้กรองชนิดอัดผิวเรียบ RO,ชิ้น,100, 65.00 ," 6,500.00 ",,Miona,ZU-020
01/21/2019,PT-9008,1,Nozzle regulating 50 No.125,ชิ้น,1," 16,700.00 "," 16,700.00 ",,Thai burner,ZU-020
01/18/2019,PT-9007,1,ใส้กรองชนิดอัดผิวเรียบ DI,ชิ้น,25, 100.00 ," 2,500.00 ",,Miona,ZU-020
03/04/2019,PT-9014,1,Cal. Testo 340,ชิ้น,1," 9,300.00 "," 9,300.00 ",,Entech,ZU-020
03/26/2019,PT-9016,1,"COD reagent 0-1,500 mg/L  , 150 tubes",กล่อง,1," 10,476.00 "," 10,476.00 ",,Materno,ZU-020
